fold,split,subject_id
5,train,sub-027
5,train,sub-029
5,train,sub-030
5,train,sub-031
5,train,sub-032
5,train,sub-034
5,train,sub-036
5,train,sub-037
5,train,sub-040
5,train,sub-042
5,train,sub-043
5,train,sub-044
5,train,sub-045
5,train,sub-049
5,train,sub-050
5,train,sub-051
5,train,sub-052
5,train,sub-054
5,train,sub-055
5,train,sub-056
5,train,sub-057
5,train,sub-058
5,train,sub-060
5,train,sub-063
5,train,sub-064
5,validation,sub-001
5,validation,sub-002
5,validation,sub-003
5,validation,sub-012
5,validation,sub-021
5,validation,sub-026
5,validation,sub-046
5,validation,sub-047
5,validation,sub-048
5,validation,sub-062
5,validation,sub-065
5,test,sub-005
5,test,sub-011
5,test,sub-013
5,test,sub-015
5,test,sub-028
5,test,sub-033
5,test,sub-035
5,test,sub-038
5,test,sub-039
5,test,sub-041
5,test,sub-053
5,test,sub-059
5,test,sub-061
