group,channel,biomarker,n_subjects,mean,standard_deviation,median,q1,q3
CN,GLOBAL,weighted_global_efficiency,29,0.6134895934630599,0.03329537139468554,0.6082708031095044,0.5848750842134326,0.6278683125022801
CN,O1,node_strength,29,3.720007599319664,1.4144667942733318,3.938792370395227,2.57720850945748,4.612354832282965
CN,O1,weighted_clustering,29,0.5068586406398166,0.17209138239385385,0.5575835963493582,0.44147648576590093,0.6150333605307063
CN,O2,node_strength,29,2.6799679396600875,1.2499268001786843,2.7830313250422476,1.776814360394437,3.8728604310014276
CN,O2,weighted_clustering,29,0.4108335552775403,0.19167758983770586,0.4829363552682068,0.2991779965446433,0.5615445198095643
CN,P3,node_strength,29,4.830170045991564,1.7328689917198505,5.189425211663198,3.7004885954382534,6.0486376369267365
CN,P3,weighted_clustering,29,0.46030510119837836,0.14909400414274365,0.4980247099417698,0.41218219336178963,0.5447591957001487
CN,P4,node_strength,29,5.613018563245459,1.539439641687153,5.519549064040184,4.679175741744764,6.110038353273501
CN,P4,weighted_clustering,29,0.5095218875786395,0.13096397637077775,0.5214370240216275,0.4215369425824428,0.5920425270303444
CN,Pz,node_strength,29,5.720465441911204,1.7012412338488656,5.798897999015884,5.264294835353138,6.951323732809367
CN,Pz,weighted_clustering,29,0.5291346987573738,0.11700614371569056,0.525315116620854,0.46022051801777575,0.6275249706092574
CN,T3,node_strength,29,3.880116436233518,1.523420291816796,3.900861375295936,2.7624055427663468,4.580709205810414
CN,T3,weighted_clustering,29,0.48634483083308205,0.16395561176828793,0.4738187858132477,0.4263563977051891,0.5747381489342129
CN,T4,node_strength,29,4.56885486873872,1.4556268131338062,4.480153033410869,3.6351042716347393,5.401470433452944
CN,T4,weighted_clustering,29,0.5989336550496658,0.10196793797725442,0.5935319917849334,0.5314385087374508,0.6564490670007216
CN,T5,node_strength,29,3.2993811990143023,1.2031609194763493,3.3510534688830376,2.5200867026709437,4.164205465427379
CN,T5,weighted_clustering,29,0.5578482431320431,0.19733086652890586,0.6170474237384556,0.46979731704091465,0.6617678794352253
CN,T6,node_strength,29,3.184488760321594,1.0482854140647009,2.9941757492043757,2.5679906558017342,4.002670044160408
CN,T6,weighted_clustering,29,0.4817342565287698,0.17758504128499078,0.5244076049274262,0.3606265226894506,0.616770253756115
